Date,Value
2001-01,96.3
2001-02,96.8
2001-03,97.1
2001-04,97.8
2001-05,98.6
2001-06,98.7
2001-07,98.4
2001-08,98.4
2001-09,98.6
2001-10,98.1
2001-11,97.2
2001-12,97.4
2002-01,97.6
2002-02,98.2
2002-03,98.9
2002-04,99.5
2002-05,99.7
2002-06,99.9
2002-07,100.5
2002-08,100.9
2002-09,100.9
2002-10,101.2
2002-11,101.5
2002-12,101.1
2003-01,102.0
2003-02,102.8
2003-03,103.1
2003-04,102.4
2003-05,102.5
2003-06,102.5
2003-07,102.6
2003-08,102.9
2003-09,103.1
2003-10,102.8
2003-11,103.1
2003-12,103.2
2004-01,103.3
2004-02,103.5
2004-03,103.9
2004-04,104.1
2004-05,105.0
2004-06,105.1
2004-07,105.0
2004-08,104.8
2004-09,105.0
2004-10,105.2
2004-11,105.6
2004-12,105.4
2005-01,105.3
2005-02,105.7
2005-03,106.3
2005-04,106.6
2005-05,106.7
2005-06,106.9
2005-07,107.1
2005-08,107.5
2005-09,108.4
2005-10,107.9
2005-11,107.7
2005-12,107.6
2006-01,108.2
2006-02,108.0
2006-03,108.6
2006-04,109.2
2006-05,109.7
2006-06,109.5
2006-07,109.6
2006-08,109.8
2006-09,109.2
2006-10,109.0
2006-11,109.2
2006-12,109.4
2007-01,109.4
2007-02,110.2
2007-03,111.1
2007-04,111.6
2007-05,112.1
2007-06,111.9
2007-07,112.0
2007-08,111.7
2007-09,111.9
2007-10,111.6
2007-11,111.9
2007-12,112.0
2008-01,111.8
2008-02,112.2
2008-03,112.6
2008-04,113.5
2008-05,114.6
2008-06,115.4
2008-07,115.8
2008-08,115.6
2008-09,115.7
2008-10,114.5
2008-11,114.1
2008-12,113.3
2009-01,113.0
2009-02,113.8
2009-03,114.0
2009-04,113.9
2009-05,114.7
2009-06,115.1
2009-07,114.7
2009-08,114.7
2009-09,114.7
2009-10,114.6
2009-11,115.2
2009-12,114.8
2010-01,115.1
2010-02,115.6
2010-03,115.6
2010-04,116.0
2010-05,116.3
2010-06,116.2
2010-07,116.8
2010-08,116.7
2010-09,116.9
2010-10,117.4
2010-11,117.5
2010-12,117.5
2011-01,117.8
2011-02,118.1
2011-03,119.4
2011-04,119.8
2011-05,120.6
2011-06,119.8
2011-07,120.0
2011-08,120.3
2011-09,120.6
2011-10,120.8
2011-11,120.9
2011-12,120.2
2012-01,120.7
2012-02,121.2
2012-03,121.7
2012-04,122.2
2012-05,122.1
2012-06,121.6
2012-07,121.5
2012-08,121.8
2012-09,122.0
2012-10,122.2
2012-11,121.9
2012-12,121.2
2013-01,121.3
2013-02,122.7
2013-03,122.9
2013-04,122.7
2013-05,123.0
2013-06,123.0
2013-07,123.1
2013-08,123.1
2013-09,123.3
2013-10,123.0
2013-11,123.0
2013-12,122.7
2014-01,123.1
2014-02,124.1
2014-03,124.8
2014-04,125.2
2014-05,125.8
2014-06,125.9
2014-07,125.7
2014-08,125.7
2014-09,125.8
2014-10,125.9
2014-11,125.4
2014-12,124.5
2015-01,124.3
2015-02,125.4
2015-03,126.3
2015-04,126.2
2015-05,126.9
2015-06,127.2
2015-07,127.3
2015-08,127.3
2015-09,127.1
2015-10,127.2
2015-11,127.1
2015-12,126.5
2016-01,126.8
2016-02,127.1
2016-03,127.9
2016-04,128.3
2016-05,128.8
2016-06,129.1
2016-07,128.9
2016-08,128.7
2016-09,128.8
2016-10,129.1
2016-11,128.6
2016-12,128.4
2017-01,129.5
2017-02,129.7
2017-03,129.9
2017-04,130.4
2017-05,130.5
2017-06,130.4
2017-07,130.4
2017-08,130.5
2017-09,130.8
2017-10,130.9
2017-11,131.3
2017-12,130.8
2018-01,131.7
2018-02,132.5
2018-03,132.9
2018-04,133.3
2018-05,133.4
2018-06,133.6
2018-07,134.3
2018-08,134.2
2018-09,133.7
2018-10,134.1
2018-11,133.5
2018-12,133.4
2019-01,133.6
2019-02,134.5
2019-03,135.4
2019-04,136.0
2019-05,136.6
2019-06,136.3
2019-07,137.0
2019-08,136.8
2019-09,136.2
2019-10,136.6
2019-11,136.4
2019-12,136.4
2020-01,136.8
2020-02,137.4
2020-03,136.6
2020-04,135.7
2020-05,136.1
2020-06,137.2
2020-07,137.2
2020-08,137.0
2020-09,136.9
2020-10,137.5
2020-11,137.7
2020-12,137.4
2021-01,138.2
2021-02,138.9
2021-03,139.6
2021-04,140.3
2021-05,141.0
2021-06,141.4
2021-07,142.3
2021-08,142.6
2021-09,142.9
2021-10,143.9
2021-11,144.2
2021-12,144.0
2022-01,145.3
2022-02,146.8
2022-03,148.9
2022-04,149.8
2022-05,151.9
2022-06,152.9
2022-07,153.1
2022-08,152.6
2022-09,152.7
2022-10,153.8
2022-11,154.0
2022-12,153.1
2023-01,153.9
2023-02,154.5
2023-03,155.3
2023-04,156.4
2023-05,157.0
2023-06,157.2
2023-07,158.1
2023-08,158.7
2023-09,158.5
2023-10,158.6
2023-11,158.8
2023-12,158.3
