Date,Value
2001-Q1,85.173
2001-Q2,86.15
2001-Q3,86.665
2001-Q4,87.697
2002-Q1,88.029
2002-Q2,87.796
2002-Q3,88.127
2002-Q4,87.919
2003-Q1,87.932
2003-Q2,88.434
2003-Q3,88.298
2003-Q4,87.692
2004-Q1,87.55
2004-Q2,88.107
2004-Q3,89.188
2004-Q4,89.586
2005-Q1,89.595
2005-Q2,90.069
2005-Q3,91.181
2005-Q4,91.742
2006-Q1,92.275
2006-Q2,91.539
2006-Q3,92.015
2006-Q4,92.299
2007-Q1,92.488
2007-Q2,92.434
2007-Q3,92.112
2007-Q4,91.304
2008-Q1,90.855
2008-Q2,91.07
2008-Q3,92.173
2008-Q4,91.643
2009-Q1,90.884
2009-Q2,90.972
2009-Q3,91.156
2009-Q4,92.159
2010-Q1,92.041
2010-Q2,91.519
2010-Q3,92.21
2010-Q4,92.605
2011-Q1,93.352
2011-Q2,93.472
2011-Q3,94.149
2011-Q4,94.716
2012-Q1,94.306
2012-Q2,93.691
2012-Q3,93.246
2012-Q4,93.235
2013-Q1,93.838
2013-Q2,94.392
2013-Q3,95.413
2013-Q4,96.787
2014-Q1,96.566
2014-Q2,98.453
2014-Q3,99.187
2014-Q4,99.576
2015-Q1,98.902
2015-Q2,97.593
2015-Q3,97.655
2015-Q4,97.656
2016-Q1,97.976
2016-Q2,97.65
2016-Q3,98.931
2016-Q4,99.061
2017-Q1,100.586
2017-Q2,100.5
2017-Q3,99.157
2017-Q4,99.776
2018-Q1,100.056
2018-Q2,100.594
2018-Q3,100.219
2018-Q4,99.981
2019-Q1,100.402
2019-Q2,100.378
2019-Q3,100.454
2019-Q4,101.056
2020-Q1,106.055
2020-Q2,119.771
2020-Q3,107.857
2020-Q4,105.69
2021-Q1,104.989
2021-Q2,104.01
2021-Q3,103.734
2021-Q4,103.455
2022-Q1,104.287
2022-Q2,104.231
2022-Q3,104.123
2022-Q4,103.171
2023-Q1,102.486
2023-Q2,102.07
2023-Q3,101.511
2023-Q4,102.057
