Date,Value
2001-01,65.2
2001-02,65.8
2001-03,65.5
2001-04,65.2
2001-05,65.3
2001-06,63.9
2001-07,62.7
2001-08,62.7
2001-09,60.8
2001-10,57.7
2001-11,55.9
2001-12,55.3
2002-01,56.4
2002-02,57.7
2002-03,60.9
2002-04,61.6
2002-05,62.3
2002-06,60.9
2002-07,62.0
2002-08,62.8
2002-09,64.5
2002-10,64.7
2002-11,62.6
2002-12,65.4
2003-01,68.9
2003-02,71.3
2003-03,68.4
2003-04,63.7
2003-05,61.8
2003-06,61.2
2003-07,60.0
2003-08,60.5
2003-09,59.0
2003-10,59.6
2003-11,60.5
2003-12,62.1
2004-01,64.1
2004-02,66.8
2004-03,69.7
2004-04,69.5
2004-05,71.4
2004-06,70.5
2004-07,71.5
2004-08,74.1
2004-09,73.9
2004-10,77.0
2004-11,72.9
2004-12,69.5
2005-01,72.9
2005-02,75.2
2005-03,79.7
2005-04,78.8
2005-05,76.2
2005-06,80.2
2005-07,81.5
2005-08,85.3
2005-09,85.1
2005-10,84.1
2005-11,83.0
2005-12,81.9
2006-01,85.8
2006-02,83.3
2006-03,84.1
2006-04,89.3
2006-05,95.3
2006-06,93.0
2006-07,98.0
2006-08,94.2
2006-09,89.1
2006-10,86.7
2006-11,86.9
2006-12,91.2
2007-01,88.6
2007-02,91.6
2007-03,93.7
2007-04,97.1
2007-05,96.7
2007-06,96.9
2007-07,100.5
2007-08,97.6
2007-09,96.7
2007-10,97.2
2007-11,100.1
2007-12,101.1
2008-01,105.3
2008-02,106.1
2008-03,113.3
2008-04,119.4
2008-05,123.3
2008-06,128.8
2008-07,130.7
2008-08,120.7
2008-09,112.0
2008-10,97.0
2008-11,83.5
2008-12,70.4
2009-01,71.2
2009-02,72.4
2009-03,81.5
2009-04,81.6
2009-05,83.2
2009-06,88.3
2009-07,85.2
2009-08,88.5
2009-09,87.5
2009-10,89.6
2009-11,91.7
2009-12,90.3
2010-01,93.1
2010-02,93.0
2010-03,94.3
2010-04,97.1
2010-05,91.3
2010-06,90.1
2010-07,91.7
2010-08,94.1
2010-09,94.7
2010-10,97.6
2010-11,100.0
2010-12,104.7
2011-01,106.3
2011-02,110.1
2011-03,115.5
2011-04,121.9
2011-05,115.8
2011-06,115.4
2011-07,114.9
2011-08,112.3
2011-09,113.4
2011-10,112.2
2011-11,115.0
2011-12,111.9
2012-01,113.1
2012-02,114.6
2012-03,112.7
2012-04,110.4
2012-05,108.8
2012-06,104.0
2012-07,104.1
2012-08,108.4
2012-09,110.4
2012-10,110.3
2012-11,107.8
2012-12,104.9
2013-01,109.7
2013-02,111.9
2013-03,110.3
2013-04,107.7
2013-05,108.7
2013-06,108.4
2013-07,114.1
2013-08,115.1
2013-09,113.3
2013-10,109.7
2013-11,105.2
2013-12,107.2
2014-01,110.2
2014-02,116.7
2014-03,117.6
2014-04,117.7
2014-05,117.3
2014-06,118.6
2014-07,116.9
2014-08,114.2
2014-09,111.8
2014-10,107.2
2014-11,101.0
2014-12,93.4
2015-01,86.0
2015-02,91.3
2015-03,90.1
2015-04,93.6
2015-05,97.8
2015-06,98.1
2015-07,92.2
2015-08,86.0
2015-09,88.1
2015-10,87.9
2015-11,84.0
2015-12,79.7
2016-01,77.3
2016-02,77.7
2016-03,81.3
2016-04,81.9
2016-05,87.6
2016-06,89.5
2016-07,87.1
2016-08,86.4
2016-09,86.3
2016-10,89.2
2016-11,87.9
2016-12,93.5
2017-01,95.2
2017-02,96.6
2017-03,95.0
2017-04,96.7
2017-05,95.0
2017-06,91.6
2017-07,90.8
2017-08,91.6
2017-09,91.5
2017-10,94.9
2017-11,100.1
2017-12,99.3
2018-01,102.7
2018-02,102.5
2018-03,104.7
2018-04,105.5
2018-05,109.5
2018-06,110.2
2018-07,111.0
2018-08,105.7
2018-09,104.8
2018-10,102.5
2018-11,90.3
2018-12,93.8
2019-01,97.4
2019-02,100.2
2019-03,103.0
2019-04,108.9
2019-05,106.1
2019-06,99.7
2019-07,101.0
2019-08,99.2
2019-09,99.2
2019-10,97.2
2019-11,98.6
2019-12,101.2
2020-01,100.0
2020-02,96.3
2020-03,85.6
2020-04,74.5
2020-05,85.7
2020-06,90.4
2020-07,92.5
2020-08,97.6
2020-09,96.1
2020-10,96.3
2020-11,96.9
2020-12,100.3
2021-01,105.8
2021-02,112.8
2021-03,115.2
2021-04,116.3
2021-05,120.1
2021-06,124.7
2021-07,128.5
2021-08,124.7
2021-09,127.6
2021-10,133.6
2021-11,133.3
2021-12,129.6
2022-01,138.3
2022-02,147.0
2022-03,164.3
2022-04,160.9
2022-05,165.9
2022-06,166.6
2022-07,154.8
2022-08,148.2
2022-09,143.7
2022-10,145.3
2022-11,144.7
2022-12,141.3
2023-01,140.8
2023-02,141.1
2023-03,139.6
2023-04,143.4
2023-05,135.7
2023-06,133.0
2023-07,137.9
2023-08,142.6
2023-09,148.0
2023-10,144.0
2023-11,136.9
2023-12,130.2
2024-01,131.7
2024-02,134.4
2024-03,140.0
2024-04,147.2
2024-05,144.9
2024-06,142.6
2024-07,143.6
2024-08,139.3
2024-09,134.8
2024-10,140.3
2024-11,140.2
2024-12,142.0
